	Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area	Benchmark	Previous	Final_Pass	Improvement
28	28	['&dc2', '&syn3', '&b']	23.311	4.843(21%)	18.468(79%)	21.0	7373.0	0.0	7373.0	2784.0	0.0	2880.0	7327.0	armcore	['&dc2', '&syn3']	&b	-1.0350000000000001
29	29	['&syn2', '&syn3', '&b']	20.885	4.595(23%)	16.290(77%)	23.0	7289.0	0.0	7289.0	2784.0	0.0	2414.0	7257.0	armcore	['&syn2', '&syn3']	&b	0.0009999999999976694
30	30	['&syn3', '&syn3', '&b']	21.750999999999998	4.719(22%)	17.032(78%)	22.0	7233.0	0.0	7233.0	2784.0	0.0	2878.0	7215.0	armcore	['&syn3', '&syn3']	&b	0.5710000000000015
31	31	['&syn4', '&syn3', '&b']	19.834	4.223(22%)	15.611(78%)	22.0	7803.0	0.0	7803.0	2784.0	0.0	2879.0	7739.0	armcore	['&syn4', '&syn3']	&b	-0.00999999999999801
32	32	['&b', '&syn3', '&b']	22.846	4.967(22%)	17.879(78%)	22.0	7257.0	0.0	7257.0	2784.0	0.0	2879.0	7224.0	armcore	['&b', '&syn3']	&b	-0.010000000000001563
33	33	['&b -d', '&syn3', '&b']	20.584	4.471(22%)	16.113(78%)	22.0	7241.0	0.0	7241.0	2784.0	0.0	2877.0	7219.0	armcore	['&b -d', '&syn3']	&b	0.5769999999999982
34	34	['&if -W 300 -x -K 6', '&syn3', '&b']	20.693	4.648(23%)	16.045(77%)	23.0	7293.0	0.0	7293.0	2784.0	0.0	2414.0	7262.0	armcore	['&if -W 300 -x -K 6', '&syn3']	&b	0.0
35	35	['&if -W 300 -g -K 6', '&syn3', '&b']	22.596999999999998	4.967(22%)	17.630(78%)	22.0	7252.0	0.0	7252.0	2784.0	0.0	2414.0	7225.0	armcore	['&if -W 300 -g -K 6', '&syn3']	&b	-0.012999999999998124
37	37	['&if -W 300 -y -K 6', '&syn3', '&b']	22.959	4.967(22%)	17.992(78%)	22.0	7392.0	0.0	7392.0	2784.0	0.0	2414.0	7342.0	armcore	['&if -W 300 -y -K 6', '&syn3']	&b	-0.583000000000002
38	38	['&synch2', '&syn3', '&b']	22.627	4.719(21%)	17.908(79%)	21.0	7325.0	0.0	7325.0	2784.0	0.0	2877.0	7302.0	armcore	['&synch2', '&syn3']	&b	-0.9429999999999978
39	39	['&dch', '&syn3', '&b']	22.866999999999997	4.967(22%)	17.900(78%)	22.0	7318.0	0.0	7318.0	2784.0	0.0	2881.0	7287.0	armcore	['&dch', '&syn3']	&b	-0.5909999999999975
40	40	['&dch -f', '&syn3', '&b']	21.848000000000003	4.595(22%)	17.253(78%)	22.0	7240.0	0.0	7240.0	2784.0	0.0	2879.0	7213.0	armcore	['&dch -f', '&syn3']	&b	0.0
41	41	['&if -W 300 -K 6 -v', '&mfs', '&st', '&syn3', '&b']	23.168000000000003	5.091(22%)	18.077(78%)	22.0	7236.0	0.0	7236.0	2784.0	0.0	2878.0	7217.0	armcore	['&if -W 300 -K 6 -v', '&mfs', '&st', '&syn3']	&b	0.004999999999999005
42	42	['&if -W 300 -K 6 -v', '&st', '&syn3', '&b']	21.011999999999997	4.719(23%)	16.293(77%)	23.0	7256.0	0.0	7256.0	2784.0	0.0	2878.0	7249.0	armcore	['&if -W 300 -K 6 -v', '&st', '&syn3']	&b	-0.5779999999999959
43	43	['&dc2', '&syn4', '&b']	20.831	4.524(22%)	16.307(78%)	22.0	7668.0	0.0	7668.0	2784.0	0.0	2877.0	7623.0	armcore	['&dc2', '&syn4']	&b	-0.002999999999996561
44	44	['&syn2', '&syn4', '&b']	20.523000000000003	4.223(21%)	16.300(79%)	21.0	7815.0	0.0	7815.0	2784.0	0.0	2414.0	7800.0	armcore	['&syn2', '&syn4']	&b	-0.7510000000000012
45	45	['&syn3', '&syn4', '&b']	18.695999999999998	3.975(22%)	14.721(78%)	22.0	7810.0	0.0	7810.0	2784.0	0.0	2879.0	7794.0	armcore	['&syn3', '&syn4']	&b	0.6110000000000042
46	46	['&syn4', '&syn4', '&b']	19.089000000000002	4.395(24%)	14.694(76%)	24.0	7804.0	0.0	7804.0	2784.0	0.0	2879.0	7777.0	armcore	['&syn4', '&syn4']	&b	0.0
47	47	['&if -W 300 -x -K 6', '&if -W 300 -x -K 6']	24.612	5.463(23%)	19.149(77%)	23.0	7330.0	0.0	7330.0	2784.0	0.0	2879.0	7731.0	armcore	['&if -W 300 -x -K 6']	&if -W 300 -x -K 6	0.0
48	48	['&b', '&syn4', '&b']	20.559	4.347(22%)	16.212(78%)	22.0	7775.0	0.0	7775.0	2784.0	0.0	2879.0	7713.0	armcore	['&b', '&syn4']	&b	-0.0009999999999976694
49	49	['&b -d', '&syn4', '&b']	19.258	4.400(23%)	14.858(77%)	23.0	7755.0	0.0	7755.0	2784.0	0.0	2414.0	7735.0	armcore	['&b -d', '&syn4']	&b	0.0
50	50	['&if -W 300 -x -K 6', '&syn4', '&b']	19.357	3.975(21%)	15.382(79%)	21.0	7781.0	0.0	7781.0	2784.0	0.0	2414.0	7628.0	armcore	['&if -W 300 -x -K 6', '&syn4']	&b	0.1960000000000015
51	51	['&if -W 300 -g -K 6', '&syn4', '&b']	21.561	4.719(22%)	16.842(78%)	22.0	7669.0	0.0	7669.0	2784.0	0.0	2414.0	7749.0	armcore	['&if -W 300 -g -K 6', '&syn4']	&b	-0.5859999999999985
52	52	['&if -W 300 -y -K 6', '&syn4', '&b']	19.127	4.099(22%)	15.028(78%)	22.0	7771.0	0.0	7771.0	2784.0	0.0	2876.0	7670.0	armcore	['&if -W 300 -y -K 6', '&syn4']	&b	0.0070000000000014495
53	53	['&synch2', '&syn4', '&b']	20.375999999999998	4.400(22%)	15.976(78%)	22.0	7715.0	0.0	7715.0	2784.0	0.0	2882.0	7607.0	armcore	['&synch2', '&syn4']	&b	0.0
54	54	['&dch', '&syn4', '&b']	20.109	4.764(24%)	15.345(76%)	24.0	7624.0	0.0	7624.0	2784.0	0.0	2878.0	7558.0	armcore	['&dch', '&syn4']	&b	-0.0020000000000024443
55	55	['&dch -f', '&syn4', '&b']	19.491	4.276(22%)	15.215(78%)	22.0	7546.0	0.0	7546.0	2784.0	0.0	2881.0	7776.0	armcore	['&dch -f', '&syn4']	&b	0.0
56	56	['&if -W 300 -K 6 -v', '&mfs', '&st', '&syn4', '&b']	20.563000000000002	4.347(22%)	16.216(78%)	22.0	7829.0	0.0	7829.0	2784.0	0.0	2880.0	7825.0	armcore	['&if -W 300 -K 6 -v', '&mfs', '&st', '&syn4']	&b	-0.5250000000000021
57	57	['&if -W 300 -K 6 -v', '&st', '&syn4', '&b']	21.254	4.719(23%)	16.535(77%)	23.0	7885.0	0.0	7885.0	2784.0	0.0	2414.0	7231.0	armcore	['&if -W 300 -K 6 -v', '&st', '&syn4']	&b	-0.0010000000000012221
58	58	['&if -W 300 -g -K 6', '&if -W 300 -x -K 6']	26.272	5.835(23%)	20.437(77%)	23.0	7269.0	0.0	7269.0	2784.0	0.0	2879.0	7411.0	armcore	['&if -W 300 -g -K 6']	&if -W 300 -x -K 6	-1.6600000000000001
59	59	['&dc2', '&b', '&b']	22.898000000000003	4.967(22%)	17.931(78%)	22.0	7467.0	0.0	7467.0	2784.0	0.0	2414.0	7233.0	armcore	['&dc2', '&b']	&b	0.0
60	60	['&syn2', '&b', '&b']	21.381999999999998	4.719(23%)	16.663(77%)	23.0	7294.0	0.0	7294.0	2784.0	0.0	2878.0	7222.0	armcore	['&syn2', '&b']	&b	-0.0009999999999976694
61	61	['&syn3', '&b', '&b']	22.581	4.967(22%)	17.614(78%)	22.0	7252.0	0.0	7252.0	2784.0	0.0	2880.0	7733.0	armcore	['&syn3', '&b']	&b	-0.010000000000001563
62	62	['&syn4', '&b', '&b']	20.72	4.595(23%)	16.125(77%)	23.0	7773.0	0.0	7773.0	2784.0	0.0	2877.0	7287.0	armcore	['&syn4', '&b']	&b	0.0
63	63	['&b', '&b', '&b']	24.947	5.463(22%)	19.484(78%)	22.0	7325.0	0.0	7325.0	2784.0	0.0	2877.0	7286.0	armcore	['&b', '&b']	&b	-0.5769999999999982
64	64	['&b -d', '&b', '&b']	24.041	5.215(22%)	18.826(78%)	22.0	7314.0	0.0	7314.0	2784.0	0.0	2414.0	7245.0	armcore	['&b -d', '&b']	&b	0.4170000000000016
65	65	['&if -W 300 -x -K 6', '&b', '&b']	23.916999999999998	5.091(22%)	18.826(78%)	22.0	7277.0	0.0	7277.0	2784.0	0.0	2414.0	7260.0	armcore	['&if -W 300 -x -K 6', '&b']	&b	-0.15699999999999648
66	66	['&if -W 300 -g -K 6', '&b', '&b']	26.904	5.711(22%)	21.193(78%)	22.0	7297.0	0.0	7297.0	2784.0	0.0	2414.0	7250.0	armcore	['&if -W 300 -g -K 6', '&b']	&b	-0.583000000000002
67	67	['&if -W 300 -y -K 6', '&b', '&b']	25.570999999999998	5.587(22%)	19.984(78%)	22.0	7288.0	0.0	7288.0	2784.0	0.0	2877.0	7216.0	armcore	['&if -W 300 -y -K 6', '&b']	&b	-0.019999999999999574
68	68	['&synch2', '&b', '&b']	19.706	4.400(23%)	15.306(77%)	23.0	7267.0	0.0	7267.0	2784.0	0.0	2414.0	7215.0	armcore	['&synch2', '&b']	&b	-0.8140000000000001
69	69	['&if -W 300 -y -K 6', '&if -W 300 -x -K 6']	26.305999999999997	5.835(23%)	20.471(77%)	23.0	7283.0	0.0	7283.0	2784.0	0.0	2880.0	7336.0	armcore	['&if -W 300 -y -K 6']	&if -W 300 -x -K 6	-1.693999999999999
70	70	['&dch', '&b', '&b']	24.004	5.215(22%)	18.789(78%)	22.0	7404.0	0.0	7404.0	2784.0	0.0	2879.0	7217.0	armcore	['&dch', '&b']	&b	-1.189
71	71	['&dch -f', '&b', '&b']	23.629	5.091(22%)	18.538(78%)	22.0	7295.0	0.0	7295.0	2784.0	0.0	2878.0	7167.0	armcore	['&dch -f', '&b']	&b	0.0009999999999976694
72	72	['&if -W 300 -K 6 -v', '&mfs', '&st', '&b', '&b']	22.322	4.843(22%)	17.479(78%)	22.0	7193.0	0.0	7193.0	2784.0	0.0	2878.0	7195.0	armcore	['&if -W 300 -K 6 -v', '&mfs', '&st', '&b']	&b	-0.015000000000000568
73	73	['&if -W 300 -K 6 -v', '&st', '&b', '&b']	22.859	4.967(22%)	17.892(78%)	22.0	7233.0	0.0	7233.0	2784.0	0.0	2879.0	7406.0	armcore	['&if -W 300 -K 6 -v', '&st', '&b']	&b	0.26599999999999824
74	74	['&dc2', '&b -d', '&b']	22.899	4.967(22%)	17.932(78%)	22.0	7463.0	0.0	7463.0	2784.0	0.0	2414.0	7234.0	armcore	['&dc2', '&b -d']	&b	0.7349999999999994
75	75	['&syn2', '&b -d', '&b']	21.968000000000004	4.843(23%)	17.125(77%)	23.0	7294.0	0.0	7294.0	2784.0	0.0	2878.0	7223.0	armcore	['&syn2', '&b -d']	&b	0.0
76	76	['&syn3', '&b -d', '&b']	22.579	4.967(22%)	17.612(78%)	22.0	7253.0	0.0	7253.0	2784.0	0.0	2880.0	7733.0	armcore	['&syn3', '&b -d']	&b	-1.1829999999999998
77	77	['&syn4', '&b -d', '&b']	20.730999999999998	4.595(23%)	16.136(77%)	23.0	7774.0	0.0	7774.0	2784.0	0.0	2877.0	7290.0	armcore	['&syn4', '&b -d']	&b	0.010999999999999233
78	78	['&b', '&b -d', '&b']	24.371	5.339(22%)	19.032(78%)	22.0	7322.0	0.0	7322.0	2784.0	0.0	2877.0	7291.0	armcore	['&b', '&b -d']	&b	-2.451999999999998
79	79	['&b -d', '&b -d', '&b']	25.031999999999996	5.463(22%)	19.569(78%)	22.0	7309.0	0.0	7309.0	2784.0	0.0	2414.0	7174.0	armcore	['&b -d', '&b -d']	&b	-4.644999999999996
80	80	['&synch2', '&if -W 300 -x -K 6']	20.038	4.471(23%)	15.567(77%)	23.0	7244.0	0.0	7244.0	2784.0	0.0	2414.0	7246.0	armcore	['&synch2']	&if -W 300 -x -K 6	4.573999999999998
81	81	['&if -W 300 -x -K 6', '&b -d', '&b']	22.642	4.967(22%)	17.675(78%)	22.0	7279.0	0.0	7279.0	2784.0	0.0	2414.0	7269.0	armcore	['&if -W 300 -x -K 6', '&b -d']	&b	0.0
82	82	['&if -W 300 -g -K 6', '&b -d', '&b']	23.963	5.091(22%)	18.872(78%)	22.0	7305.0	0.0	7305.0	2784.0	0.0	2414.0	7250.0	armcore	['&if -W 300 -g -K 6', '&b -d']	&b	0.0
83	83	['&if -W 300 -y -K 6', '&b -d', '&b']	23.791	5.091(22%)	18.700(78%)	22.0	7288.0	0.0	7288.0	2784.0	0.0	2877.0	7219.0	armcore	['&if -W 300 -y -K 6', '&b -d']	&b	0.0
84	84	['&synch2', '&b -d', '&b']	19.706	4.400(23%)	15.306(77%)	23.0	7269.0	0.0	7269.0	2784.0	0.0	2881.0	7348.0	armcore	['&synch2', '&b -d']	&b	1.243000000000002
85	85	['&dch', '&b -d', '&b']	24.006	5.215(22%)	18.791(78%)	22.0	7411.0	0.0	7411.0	2784.0	0.0	2879.0	7228.0	armcore	['&dch', '&b -d']	&b	-3.1629999999999967
86	86	['&dch -f', '&b -d', '&b']	22.488000000000003	4.843(22%)	17.645(78%)	22.0	7305.0	0.0	7305.0	2784.0	0.0	2878.0	7159.0	armcore	['&dch -f', '&b -d']	&b	-0.5940000000000012
87	87	['&if -W 300 -K 6 -v', '&mfs', '&st', '&b -d', '&b']	22.197	4.843(22%)	17.354(78%)	22.0	7183.0	0.0	7183.0	2784.0	0.0	2878.0	7195.0	armcore	['&if -W 300 -K 6 -v', '&mfs', '&st', '&b -d']	&b	0.6340000000000003
88	88	['&if -W 300 -K 6 -v', '&st', '&b -d', '&b']	23.123	5.091(23%)	18.032(77%)	23.0	7224.0	0.0	7224.0	2784.0	0.0	2414.0	7304.0	armcore	['&if -W 300 -K 6 -v', '&st', '&b -d']	&b	-0.053000000000000824
89	89	['&dc2', '&if -W 300 -x -K 6', '&b']	21.058000000000003	4.595(22%)	16.463(78%)	22.0	7365.0	0.0	7365.0	2784.0	0.0	2414.0	7234.0	armcore	['&dc2', '&if -W 300 -x -K 6']	&b	0.8539999999999957
90	90	['&syn2', '&if -W 300 -x -K 6', '&b']	20.355	4.524(23%)	15.831(77%)	23.0	7295.0	0.0	7295.0	2784.0	0.0	2414.0	7316.0	armcore	['&syn2', '&if -W 300 -x -K 6']	&b	0.0
91	91	['&dch', '&if -W 300 -x -K 6']	24.173000000000002	5.215(22%)	18.958(78%)	22.0	7284.0	0.0	7284.0	2784.0	0.0	2414.0	7208.0	armcore	['&dch']	&if -W 300 -x -K 6	0.4389999999999965
92	92	['&syn3', '&if -W 300 -x -K 6', '&b']	21.451	4.719(22%)	16.732(78%)	22.0	7202.0	0.0	7202.0	2784.0	0.0	2414.0	7639.0	armcore	['&syn3', '&if -W 300 -x -K 6']	&b	0.0030000000000001137
93	93	['&syn4', '&if -W 300 -x -K 6', '&b']	19.46	4.419(23%)	15.041(77%)	23.0	7698.0	0.0	7698.0	2784.0	0.0	2414.0	7229.0	armcore	['&syn4', '&if -W 300 -x -K 6']	&b	-0.5050000000000026
94	94	['&b', '&if -W 300 -x -K 6', '&b']	20.75	4.595(23%)	16.155(77%)	23.0	7296.0	0.0	7296.0	2784.0	0.0	2414.0	7242.0	armcore	['&b', '&if -W 300 -x -K 6']	&b	-0.6649999999999991
95	95	['&b -d', '&if -W 300 -x -K 6', '&b']	20.819000000000003	4.595(23%)	16.224(77%)	23.0	7300.0	0.0	7300.0	2784.0	0.0	2414.0	7244.0	armcore	['&b -d', '&if -W 300 -x -K 6']	&b	0.0
96	96	['&if -W 300 -x -K 6', '&if -W 300 -x -K 6', '&b']	24.612	5.463(23%)	19.149(77%)	23.0	7330.0	0.0	7330.0	2784.0	0.0	2414.0	7207.0	armcore	['&if -W 300 -x -K 6', '&if -W 300 -x -K 6']	&b	0.0
97	97	['&if -W 300 -g -K 6', '&if -W 300 -x -K 6', '&b']	22.811	4.967(22%)	17.844(78%)	22.0	7303.0	0.0	7303.0	2784.0	0.0	2414.0	7175.0	armcore	['&if -W 300 -g -K 6', '&if -W 300 -x -K 6']	&b	3.4609999999999985
98	98	['&if -W 300 -y -K 6', '&if -W 300 -x -K 6', '&b']	23.388	5.091(22%)	18.297(78%)	22.0	7250.0	0.0	7250.0	2784.0	0.0	2414.0	7246.0	armcore	['&if -W 300 -y -K 6', '&if -W 300 -x -K 6']	&b	2.9179999999999957
99	99	['&synch2', '&if -W 300 -x -K 6', '&b']	20.038	4.471(23%)	15.567(77%)	23.0	7236.0	0.0	7236.0	2784.0	0.0	2414.0	7226.0	armcore	['&synch2', '&if -W 300 -x -K 6']	&b	0.0
100	100	['&dch', '&if -W 300 -x -K 6', '&b']	21.669	4.706(22%)	16.963(78%)	22.0	7240.0	0.0	7240.0	2784.0	0.0	2414.0	7348.0	armcore	['&dch', '&if -W 300 -x -K 6']	&b	2.5040000000000013
101	101	['&dch -f', '&if -W 300 -x -K 6', '&b']	23.388	5.091(22%)	18.297(78%)	22.0	7248.0	0.0	7248.0	2784.0	0.0	2414.0	7175.0	armcore	['&dch -f', '&if -W 300 -x -K 6']	&b	1.0819999999999972
102	102	['&dch -f', '&if -W 300 -x -K 6']	24.47	5.339(22%)	19.131(78%)	22.0	7295.0	0.0	7295.0	2784.0	0.0	2414.0	7261.0	armcore	['&dch -f']	&if -W 300 -x -K 6	0.14199999999999946
103	103	['&if -W 300 -K 6 -v', '&mfs', '&st', '&if -W 300 -x -K 6', '&b']	23.494	5.215(23%)	18.279(77%)	23.0	7216.0	0.0	7216.0	2784.0	0.0	2414.0	7366.0	armcore	['&if -W 300 -K 6 -v', '&mfs', '&st', '&if -W 300 -x -K 6']	&b	-1.3589999999999982
104	104	['&if -W 300 -K 6 -v', '&st', '&if -W 300 -x -K 6', '&b']	24.198	5.339(23%)	18.859(77%)	23.0	7311.0	0.0	7311.0	2784.0	0.0	2414.0	7240.0	armcore	['&if -W 300 -K 6 -v', '&st', '&if -W 300 -x -K 6']	&b	1.0899999999999999
105	105	['&dc2', '&if -W 300 -g -K 6', '&b']	21.464000000000002	4.719(22%)	16.745(78%)	22.0	7424.0	0.0	7424.0	2784.0	0.0	2414.0	7265.0	armcore	['&dc2', '&if -W 300 -g -K 6']	&b	-0.2840000000000025
106	106	['&syn2', '&if -W 300 -g -K 6', '&b']	21.435	4.719(23%)	16.716(77%)	23.0	7282.0	0.0	7282.0	2784.0	0.0	2414.0	7683.0	armcore	['&syn2', '&if -W 300 -g -K 6']	&b	-0.25099999999999767
107	107	['&syn3', '&if -W 300 -g -K 6', '&b']	23.781	5.215(22%)	18.566(78%)	22.0	7325.0	0.0	7325.0	2784.0	0.0	2414.0	7264.0	armcore	['&syn3', '&if -W 300 -g -K 6']	&b	-1.1879999999999953
108	108	['&syn4', '&if -W 300 -g -K 6', '&b']	18.374000000000002	4.117(23%)	14.257(77%)	23.0	7726.0	0.0	7726.0	2784.0	0.0	2414.0	7257.0	armcore	['&syn4', '&if -W 300 -g -K 6']	&b	0.4369999999999976
109	109	['&b', '&if -W 300 -g -K 6', '&b']	25.156	5.339(22%)	19.817(78%)	22.0	7313.0	0.0	7313.0	2784.0	0.0	2414.0	7265.0	armcore	['&b', '&if -W 300 -g -K 6']	&b	-0.04199999999999804
110	110	['&b -d', '&if -W 300 -g -K 6', '&b']	25.84	5.587(22%)	20.253(78%)	22.0	7304.0	0.0	7304.0	2784.0	0.0	2877.0	7420.0	armcore	['&b -d', '&if -W 300 -g -K 6']	&b	0.0
111	111	['&if -W 300 -x -K 6', '&if -W 300 -g -K 6', '&b']	25.999000000000002	5.711(22%)	20.288(78%)	22.0	7342.0	0.0	7342.0	2784.0	0.0	2414.0	7112.0	armcore	['&if -W 300 -x -K 6', '&if -W 300 -g -K 6']	&b	-0.24700000000000344
112	112	['&if -W 300 -g -K 6', '&if -W 300 -g -K 6', '&b']	24.612	5.463(23%)	19.149(77%)	23.0	7330.0	0.0	7330.0	2784.0	0.0	2414.0	7229.0	armcore	['&if -W 300 -g -K 6', '&if -W 300 -g -K 6']	&b	0.0
113	113	['&dch -f']	27.893	6.083(22%)	21.810(78%)	22.0	7355.0	0.0	7355.0	2784.0	0.0	2414.0	7184.0	armcore	[]	&dch -f	-3.2810000000000024
114	114	['&if -W 300 -K 6 -v', '&mfs', '&st', '&if -W 300 -x -K 6']	22.135	4.843(22%)	17.292(78%)	22.0	7149.0	0.0	7149.0	2784.0	0.0	2414.0	7280.0	armcore	['&if -W 300 -K 6 -v', '&mfs', '&st']	&if -W 300 -x -K 6	1.718
115	115	['&if -W 300 -y -K 6', '&if -W 300 -g -K 6', '&b']	23.439	5.091(22%)	18.348(78%)	22.0	7282.0	0.0	7282.0	2784.0	0.0	2415.0	7232.0	armcore	['&if -W 300 -y -K 6', '&if -W 300 -g -K 6']	&b	1.0250000000000021
